Initiating user,Date entered,First Name:,Last Name:,Convo,Follow-Up? Yes/No,Tags,RACount,TotalCount
RA5,"March 10, 2021, 04:44 PM",A,0,i did a wellness check on a. he mentioned he signed up for an anxiety workshop. i will be checking in with him next week about it.,Yes,"Campus/Community Involvement, Goal Setting/Career Planning, Mental Health",1,1
RA1,"March 22, 2021, 08:55 PM",B,1,we discussed classes and plans for the summer.,No,"Academics, Goal Setting/Career Planning",1,2
RA1,"March 22, 2021, 08:57 PM",C,2,we talked about how classes are going and working with asynchronous classes.,No,Academics,2,3
RA8,"April 12, 2021, 08:04 PM",D,3,"we talked about class and how he dealt with personal issues, and talked about plan of summer",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships, Mental Health",1,4
RA7,"April 12, 2021, 08:05 PM",E,4,"e and i talked about where he is going to live next year, he told me he rushed a frat and is going to be living in next year and that he is excited. we talked more about things we had been doing to get out and enjoy the weather as well.",No,"Campus/Community Involvement, Mental Health",1,5
RA8,"April 12, 2021, 08:05 PM",F,5,"talked about plan in summer, the graduate school he is going to and the reserach in summer",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships",2,6
RA7,"April 12, 2021, 08:06 PM",G,6,i started the conversation by mentioning i saw him in the gym and then g and i talked about our favorite times to go and how it was a good way to get a break from school.,No,"Campus/Community Involvement, Mental Health",2,7
RA6,"April 12, 2021, 08:08 PM",H,7,talked about mechanical engineering and home.,No,Academics,1,8
RA7,"April 12, 2021, 08:08 PM",I,8,i was stressed about a calc 3 exam so i took some time to check and make sure that he was handling the stress well. he seemed to be doing okay and said that he was just tired of studying constantly. i told him to get outside to give his brain some time to relax and get some sun.,No,"Academics, Campus/Community Involvement, Mental Health",3,9
RA4,"April 12, 2021, 08:09 PM",J,9,"j and i discussed his current classes as well as how his weekend was. he said that his classes were going ok, but there was this one he's kind of been putting off that he needs to work on before the end of the semester. i encouraged him to try to stay ahead of it so that he doesn't fall behind in may. his weekend went well, according to him, as he met his family for lunch and got to spend some time with them. he has to take his roommate to a dentist appointment tomorrow so i wished him luck with that.",No,"Academics, Friends/Family/Relationships",1,10
RA7,"April 12, 2021, 08:09 PM",K,10,k and i talked about getting tickets for next years sporting events and how excited we were to actually be able to go and enjoy the games in person.,No,"Campus/Community Involvement, Mental Health",4,11
RA4,"April 12, 2021, 08:11 PM",L,11,"l and i caught up regarding his classes and guitar playing. today he played at the campus house church service, and has enjoyed the progress that he's made. classes have also been going fairly well for him, and i told him i was glad things haven't been super stressful.",No,"Academics, Campus/Community Involvement",2,12
RA5,"April 15, 2021, 09:04 PM",M,12,"discuess classes for this semester, said he did average",No,Academics,2,13
RA5,"April 15, 2021, 09:05 PM",N,13,told me he is doing absolutely wonderful,No,Mental Health,3,14
RA5,"April 15, 2021, 09:06 PM",O,14,talked about how he made friends this year from the community,No,Friends/Family/Relationships,4,15
RA5,"April 15, 2021, 09:07 PM",P,15,told me that classes went well and he learned to build good habits,No,Academics,5,16
RA5,"April 15, 2021, 09:08 PM",Q,16,told me he had the best relationship with his ra,No,Friends/Family/Relationships,6,17
RA5,"April 15, 2021, 09:09 PM",R,17,"classes went okay for him, he told me he had struggled with time management",No,Academics,7,18
RA5,"April 15, 2021, 09:10 PM",S,18,academics ended up being more of a stress than anything,No,Academics,8,19
RA5,"April 15, 2021, 09:11 PM",T,19,"told me that classes went about as expectted, there is always room for improvement. his words, not mine.",No,Academics,9,20
RA5,"April 15, 2021, 09:13 PM",U,20,"while the beginning of the semester was a struggle, but now things are getting a lot better.",No,Mental Health,10,21
RA5,"April 15, 2021, 09:16 PM",V,21,told me he was doing well!,No,Mental Health,11,22
RA5,"April 15, 2021, 09:17 PM",W,22,told me that things are moving upward!,No,Mental Health,12,23
RA5,"April 15, 2021, 09:18 PM",X,23,"average semester, could be better or worse. that's what i was told",No,Mental Health,13,24
RA5,"April 15, 2021, 09:19 PM",Y,24,"i was told covid sucks, but there were a few good people to meet.",No,Friends/Family/Relationships,14,25
RA5,"April 15, 2021, 09:20 PM",Z,25,classes were a yes this semester apparently,No,Academics,15,26
RA5,"April 15, 2021, 09:21 PM",A,26,classes were rough this semester for him.,No,Academics,16,27
RA5,"April 15, 2021, 09:23 PM",B,27,worked towards a goal of exercising once a week,No,Goal Setting/Career Planning,17,28
RA5,"April 15, 2021, 09:24 PM",C,28,classes went pretty well.,No,Academics,18,29
RA5,"April 15, 2021, 09:24 PM",D,29,accomplished his goal of not dropping out of any classes,No,Goal Setting/Career Planning,19,30
RA5,"April 15, 2021, 09:27 PM",E,30,"described his classes as being meh, but he got a 4.0.",No,Academics,20,31
RA5,"April 15, 2021, 09:27 PM",F,31,classes this semester went great!,No,Academics,21,32
RA5,"April 15, 2021, 09:28 PM",G,32,made friends outside of the dorm due to being in the military,No,Friends/Family/Relationships,22,33
RA5,"April 15, 2021, 09:31 PM",H,33,didn't set any goals this semester,No,Goal Setting/Career Planning,23,34
RA5,"April 15, 2021, 09:32 PM",I,34,he joined a business fraternity this semester,No,Campus/Community Involvement,24,35
RA5,"April 15, 2021, 09:35 PM",J,35,"he's ready to head home, being alone hits hard.",No,Mental Health,25,36
RA5,"April 15, 2021, 09:36 PM",K,36,overly stressed and needs a break,No,Mental Health,26,37
RA5,"April 15, 2021, 09:37 PM",L,37,i was told classes went pretty well,No,Academics,27,38
RA5,"April 15, 2021, 09:39 PM",M,38,"did well in classes, but 20 credits was a lot to take",No,Academics,28,39
RA5,"April 15, 2021, 09:41 PM",N,39,classes were pretty good this semester,No,Academics,29,40
RA5,"April 15, 2021, 09:42 PM",O,40,working towards getting his gpa above a 3.0,No,Goal Setting/Career Planning,30,41
RA5,"April 15, 2021, 09:44 PM",P,41,"made a lot of new friends this semester, just not in the dorm",No,Friends/Family/Relationships,31,42
RA5,"April 18, 2021, 04:54 PM",Q,42,"hoping to have a better sophomore year, classes went okay though",No,Academics,32,43
RA5,"April 18, 2021, 04:55 PM",R,43,he made a ton of friends on the floor and a lot more in the fraternity he joined,No,Friends/Family/Relationships,33,44
RA2,"April 27, 2021, 09:42 PM",S,44,we talked about classes and his upcoming tests he said that he is planning on taking his exams here. overall his classes are going fine.,No,"Academics, Campus/Community Involvement",1,45
RA2,"April 27, 2021, 09:45 PM",T,45,he was working on some homework and he said that his classes were going well. we talked about overwatch and the heroes that we play.,No,"Academics, Campus/Community Involvement, Other/Add Theme",2,46
RA2,"April 27, 2021, 09:47 PM",U,46,he said that he is doing well and has some work to get done this week but for the most part he said classes are going good.,No,Campus/Community Involvement,3,47
RA2,"April 27, 2021, 09:50 PM",V,47,we had a short chat in the bathroom he is all finished with exams until finals start coming around.,,Academics,4,48
RA2,"April 27, 2021, 09:52 PM",W,48,we talked in the hall briefly he was coming back from the dinning hall. he said he is doing good and waiting for finals to start coming around.,No,Academics,5,49
RA2,"April 27, 2021, 09:54 PM",X,49,he was coming back from work. he is working as a im yellow shirt for the corec and said he had his first game. he said that the jobs is pretty easy and he for the most part enjoys it.,No,"Campus/Community Involvement, Friends/Family/Relationships",6,50
RA2,"April 27, 2021, 09:56 PM",Y,50,we talked about his classes he is in undecided and was considering engineering and is moving forward as he try's to figure out what he should take next year.,No,"Academics, Campus/Community Involvement",7,51
RA2,"April 27, 2021, 09:58 PM",Z,51,he had applied for the ra position and i asked how it worked out for him. unfortunately he was not selected. i told him not to worry too much because there are a lot of applicants and that he should try again the next year.,No,Goal Setting/Career Planning,8,52
RA4,"May 1, 2021, 06:02 PM",A,52,a and i discussed his course load over the second half of the semester. while they were difficult he said that they were going ok which was good. i wished him luck on upcoming exams and let him know to reach out if he ever needed anything,No,Academics,3,53
RA4,"May 1, 2021, 06:04 PM",B,53,"i stopped by b's room to talk about the bayern psg game today, and was disappointed to see that we lost. i asked him about how we lost and what went wrong so that was a fun convo to have. i also checked in with him regarding classes and everything else that he's been doing and was glad to hear that he was doing well.",No,"Academics, Other/Add Theme",4,54
RA4,"May 1, 2021, 06:06 PM",C,54,"c and i talked about his involvement with the cs and physics departments. he got an opportunity to do some research which was super cool, and he said it's gone a long way towards his career planning. i was also happy to hear that his classes were improving as well!",No,"Academics, Goal Setting/Career Planning",5,55
RA4,"May 1, 2021, 06:11 PM",D,55,"as i've mentioned before, d is in the college of pharmacy and has been kicking butt. he has a perfect 4.0 gpa and is hoping to maintain that throughout this semester. even though he's not sure how it'll finish up, he's in a good place to do just that which is super dope. finally, we talked about career planning and pharmacy.",No,"Academics, Goal Setting/Career Planning",6,56
RA4,"May 1, 2021, 06:12 PM",E,56,i got in touch with e regarding the end of his freshman year and if he was happy with how it went. he's on track to finish with all a's and b's which is super impressive and i told him to keep up the good work.,No,Academics,7,57
RA4,"May 1, 2021, 06:15 PM",F,57,"dj and i talked about his upcoming finals and whether he thought they'd be hard or not. although he's not super stressed, he's definitely excited to be done with them here in a couple weeks. he also headed off to texas this past weekend to watch some races so i thought that was pretty cool. i also helped him move his tv out to his car, since he wanted to start packing up a bit early.",No,"Academics, Other/Add Theme",8,58
RA4,"May 1, 2021, 06:21 PM",G,58,"we discussed his classes for this semester, and he said they went pretty well. unfortunately, they were a bit more work than he thought they should've beenâ€”but either than that they were fine. we also talked a bit about his relationship with his girlfriend and how that's been going.",No,"Academics, Friends/Family/Relationships",9,59
RA3,"May 1, 2021, 08:04 PM",H,59,"talked about classes, finals, summer plans, future semester plans, housing",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships, Goal Setting/Career Planning",1,60
RA3,"May 1, 2021, 08:04 PM",I,60,"talked about classes, finals, summer plans, future semester plans, housing",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships",2,61
RA3,"May 1, 2021, 08:05 PM",J,61,"talked about classes, finals, summer plans, future semester plans, housing",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships, Goal Setting/Career Planning",3,62
RA3,"May 1, 2021, 08:05 PM",K,62,"talked about classes, finals, summer plans, future semester plans, housing",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships, Goal Setting/Career Planning",4,63
RA3,"May 1, 2021, 08:06 PM",L,63,"talked about classes, finals, summer plans, future semester plans, housing",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships, Goal Setting/Career Planning",5,64
RA3,"May 1, 2021, 08:07 PM",M,64,"talked about classes, finals, summer plans, future semester plans, housing",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships, Goal Setting/Career Planning",6,65
RA3,"May 1, 2021, 08:07 PM",N,65,"talked about classes, finals, summer plans, future semester plans, housing",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships, Goal Setting/Career Planning",7,66
RA3,"May 1, 2021, 08:08 PM",O,66,"talked about classes, finals, summer plans, future semester plans, housing",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships, Goal Setting/Career Planning",8,67
RA3,"May 1, 2021, 08:09 PM",P,67,"talked about classes, finals, summer plans, future semester plans, housing",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships, Goal Setting/Career Planning",9,68
RA3,"May 1, 2021, 08:09 PM",Q,68,"talked about classes, finals, summer plans, future semester plans, housing",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships, Goal Setting/Career Planning",10,69
RA2,"May 2, 2021, 08:12 PM",R,69,i asked how classes were going he said that they were going well and him and his roommate were doing fine.,No,"Academics, Friends/Family/Relationships",9,70
RA2,"May 2, 2021, 08:13 PM",S,70,we talked about st thomas the church that we both go to. also our classes and the exams that we have in the coming days.,No,"Academics, Campus/Community Involvement",10,71
RA2,"May 2, 2021, 08:15 PM",T,71,we talked about his upcoming aero exams i told him about my experience in the classes and his other finals that he has coming up.,No,"Academics, Campus/Community Involvement",11,72
RA2,"May 2, 2021, 08:16 PM",U,72,he was on his gym he had a lap pool reservation. we talked about swimming since we both swam in high school.,No,"Campus/Community Involvement, Other/Add Theme",12,73
RA2,"May 2, 2021, 08:17 PM",V,73,"i asked how the end of the semester is going for him he is ready for summer break, he also had some questions about move out procedure.",No,Campus/Community Involvement,13,74
RA1,"May 2, 2021, 08:19 PM",W,74,we talked about plans after graduation.,No,"Friends/Family/Relationships, Goal Setting/Career Planning",3,75
RA1,"May 2, 2021, 08:20 PM",X,75,we talked about the fraternity he is pledging.,No,Campus/Community Involvement,4,76
RA2,"May 2, 2021, 08:21 PM",Y,76,"we talked about the weekend and what we had done, he said is was pretty laid back and relaxed. he said that classes were good aswell.",No,"Academics, Campus/Community Involvement",14,77
RA1,"May 2, 2021, 08:21 PM",Z,77,we talked about the frat he is pledging.,No,Campus/Community Involvement,5,78
RA1,"May 2, 2021, 08:22 PM",A,78,we talked about classes and summer plans.,No,"Academics, Goal Setting/Career Planning",6,79
RA2,"May 2, 2021, 08:23 PM",B,79,we talked about the draft and the plays that the bears and the steelers were making. he said classes were fine for the most part.,No,"Academics, Other/Add Theme",15,80
RA1,"May 2, 2021, 08:23 PM",C,80,we talked about the campus ministry he's involved in.,No,"Campus/Community Involvement, Friends/Family/Relationships",7,81
RA1,"May 2, 2021, 08:24 PM",D,81,we talked about classes.,No,Academics,8,82
RA2,"May 2, 2021, 08:25 PM",E,82,we talked about classes and he said that he has a group project for his engineering classes that was coming to a close and was ready to be done with that.,No,Academics,16,83
RA1,"May 2, 2021, 08:25 PM",F,83,we talked about a club he's a part of.,No,Campus/Community Involvement,9,84
RA1,"May 2, 2021, 08:26 PM",G,84,we talked about grad school plans and specialization decisions.,No,"Academics, Goal Setting/Career Planning",10,85
RA2,"May 2, 2021, 08:27 PM",H,85,i talked to aaron in the hall briefly and he has classes were going well and he has been too busy to come to floor dinners.,No,Academics,17,86
RA1,"May 2, 2021, 08:27 PM",I,86,we talked about classes and summer plans.,No,"Academics, Goal Setting/Career Planning",11,87
RA1,"May 2, 2021, 08:28 PM",J,87,we talked about jobs on campus to help pay for college.,No,"Academics, Finances",12,88
RA2,"May 2, 2021, 08:29 PM",K,88,"we talked about our classes, he said that he was doing well and ready for some free time.",No,"Academics, Campus/Community Involvement",18,89
RA1,"May 2, 2021, 08:29 PM",L,89,we talked about clubs and getting involved around campus.,No,"Academics, Friends/Family/Relationships",13,90
RA1,"May 2, 2021, 08:31 PM",M,90,we talked about classes and purdue athletics.,No,"Academics, Other/Add Theme",14,91
RA2,"May 2, 2021, 08:31 PM",N,91,"he said that his classes were going fine but was upset because his bike had gotten stolen, i told him he should at least contact purdue police to report it if he hadn't already.",No,"Campus/Community Involvement, Friends/Family/Relationships",19,92
RA1,"May 2, 2021, 08:32 PM",O,92,we talked about the stock market.,No,Finances,15,93
RA1,"May 2, 2021, 08:33 PM",P,93,we talked about stuff at home and summer plans.,No,"Campus/Community Involvement, Friends/Family/Relationships",16,94
RA2,"May 2, 2021, 08:33 PM",Q,94,had not seen q around a lot we talked shortly in the stairwell he said that he was doing well. he likes that he has a bit more time.,No,"Academics, Campus/Community Involvement",20,95
RA1,"May 2, 2021, 08:34 PM",R,95,we talked about choosing a career path.,No,Goal Setting/Career Planning,17,96
RA1,"May 2, 2021, 08:35 PM",S,96,we talked about finding a job after graduation and paying off debt.,No,"Goal Setting/Career Planning, Finances",18,97
RA2,"May 2, 2021, 08:37 PM",T,97,we talked about school and our class schedule in the coming days. he said that he is doing good. he has been getting some sun outside and enjoying the weather.,No,"Academics, Campus/Community Involvement",21,98
RA2,"May 2, 2021, 08:39 PM",U,98,"u was doing well we talked a few times i thought that he worked at the wiley res hall, but that was not the case he works elsewhere on campus.",No,"Academics, Campus/Community Involvement",22,99
RA2,"May 2, 2021, 08:42 PM",V,99,we talked in the bathroom he said that he was doing well and enjoying his classes.,No,"Academics, Campus/Community Involvement",23,100
RA2,"May 2, 2021, 08:44 PM",W,100,w said that he is doing well and that his classes were going fine. his physics class is difficult but he is doing well overall.,No,,24,101
RA2,"May 2, 2021, 08:46 PM",X,101,"we talked at floor dinner about the classes we are taking next semester, he also practiced his com presentation to me.",No,"Academics, Campus/Community Involvement",25,102
RA2,"May 2, 2021, 08:47 PM",Y,102,we talked about the starships and how ordering from harrison can be a play. he said that his cs exam is likely going to be hard but hes preparing for it.,No,"Academics, Campus/Community Involvement",26,103
RA2,"May 2, 2021, 08:48 PM",Z,103,we talked about classes he said that he has a cs exam that he was going to stay up all night studying for and that he does this for all of his exams. i told him that he should really try practice getting a good night rest before exams.,No,"Academics, Campus/Community Involvement",27,104
RA2,"May 2, 2021, 08:53 PM",A,104,a said he was doing well. we talked about meal plans on campus and the chic fila lines.,No,"Academics, Campus/Community Involvement",28,105
RA2,"May 2, 2021, 08:54 PM",B,105,we talked shortly in the hall he said that he is doing well and that classes are going fine.,No,"Academics, Campus/Community Involvement",29,106
RA1,"May 2, 2021, 09:12 PM",C,106,we talked about classes and clubs.,No,"Academics, Campus/Community Involvement",19,107
RA1,"May 2, 2021, 09:14 PM",D,107,we talked about summer plans.,No,"Friends/Family/Relationships, Goal Setting/Career Planning",20,108
RA1,"May 2, 2021, 09:15 PM",E,108,we talked about getting an internship for the summer.,No,Goal Setting/Career Planning,21,109
RA1,"May 2, 2021, 09:16 PM",F,109,we talked about crypto currency.,No,Finances,22,110
RA1,"May 2, 2021, 09:17 PM",G,110,we talked about getting ready for finals.,No,Academics,23,111
RA1,"May 2, 2021, 09:18 PM",H,111,we talked about finals and the school year as a whole.,No,Academics,24,112
RA1,"May 2, 2021, 09:21 PM",I,112,we talked about finals and the campus ministry he's involved in.,No,"Academics, Campus/Community Involvement",25,113
RA1,"May 2, 2021, 09:22 PM",J,113,we talked about making friends on campus and academics.,No,"Academics, Friends/Family/Relationships",26,114
RA1,"May 2, 2021, 09:23 PM",K,114,we talked about getting a job during the summer and saving money during college.,No,"Goal Setting/Career Planning, Finances",27,115
RA1,"May 2, 2021, 09:25 PM",L,115,we talked about social activities and getting involved on campus.,No,"Campus/Community Involvement, Friends/Family/Relationships",28,116
RA1,"May 2, 2021, 09:26 PM",M,116,we talked about setting goals for finals and getting an internship for the summer.,No,Goal Setting/Career Planning,29,117
RA1,"May 2, 2021, 09:54 PM",N,117,we talked about midterms and staying on top of class work.,No,Academics,30,118
RA1,"May 2, 2021, 09:56 PM",O,118,we talked about finals and getting ready for the summer.,No,"Academics, Goal Setting/Career Planning",31,119
RA1,"May 2, 2021, 10:01 PM",P,119,we talked about staying healthy physically in order to help with academics.,No,"Academics, Other/Add Theme",32,120
RA1,"May 2, 2021, 10:07 PM",Q,120,we talked about making friends on campus and paying for school.,No,"Friends/Family/Relationships, Finances",33,121
RA1,"May 2, 2021, 10:11 PM",R,121,we talked about paying for college.,No,Finances,34,122
